sent_pos,sent_neg,sent_neu,sent_compound,sent_pos_tokenized,sent_neg_tokenized,sent_neu_tokenized,sent_compound_tokenized
0.147,0.066,0.786,0.7351,0.10275,0.01925,0.8781249999999999,0.09605
0.346,0.0,0.654,0.8777,0.265,0.0,0.735,0.335675
0.357,0.0,0.643,0.9497,0.3536,0.0,0.6464000000000001,0.42488000000000004
0.158,0.0,0.842,0.9228,0.14279999999999998,0.0,0.8572000000000001,0.35468
0.1,0.05,0.849,0.8184,0.06888888888888889,0.048111111111111104,0.883,0.10592222222222222
0.199,0.077,0.723,0.8827,0.1644285714285714,0.04428571428571428,0.7911428571428571,0.20470000000000002
0.165,0.105,0.73,0.7266,0.108,0.08428571428571428,0.8077142857142857,0.06365714285714286
0.343,0.0,0.657,0.9571,0.31639999999999996,0.0,0.6836,0.44376
0.133,0.0,0.867,0.8674,0.14675,0.0,0.8532500000000001,0.497325
0.338,0.0,0.662,0.9677,0.2995,0.0,0.7004999999999999,0.455
0.382,0.0,0.618,0.9553,0.38233333333333336,0.0,0.6176666666666667,0.6921333333333334
0.221,0.0,0.779,0.9783,0.17885714285714285,0.0,0.8211428571428573,0.3961571428571428
0.335,0.017,0.648,0.9907,0.2972857142857143,0.014285714285714287,0.6884285714285714,0.5139
0.075,0.0,0.925,0.5111,0.06433333333333334,0.0,0.9356666666666666,0.17036666666666667
0.173,0.046,0.781,0.9582,0.11892307692307692,0.0726923076923077,0.8083846153846154,0.18383076923076927
0.262,0.046,0.692,0.9527,0.21911111111111115,0.04466666666666667,0.7362222222222222,0.2567777777777778
0.241,0.123,0.636,0.8314,0.2235,0.14525,0.6312500000000001,0.13185000000000002
0.143,0.057,0.8,0.802,0.13625,0.0355,0.8282499999999999,0.21265
0.042,0.048,0.91,-0.1154,0.0295,0.07583333333333334,0.8946666666666667,0.010049999999999995
0.138,0.056,0.805,0.6222,0.144875,0.035,0.820125,0.08583750000000001
0.259,0.018,0.724,0.9681,0.24885714285714286,0.015714285714285715,0.7354285714285714,0.38649999999999995
0.112,0.037,0.851,0.6124,0.08666666666666667,0.022500000000000003,0.8908333333333333,0.11696666666666666
0.229,0.0,0.771,0.8979,0.2675,0.0,0.7324999999999999,0.34935
0.154,0.0,0.846,0.908,0.1264,0.0,0.8736,0.34940000000000004
0.338,0.025,0.637,0.9596,0.2072,0.039,0.7538,0.24994
0.241,0.021,0.738,0.9615,0.17325000000000002,0.01875,0.808,0.475125
0.137,0.025,0.838,0.8171,0.11640000000000002,0.0258,0.8577999999999999,0.21437999999999996
0.096,0.049,0.855,0.871,0.061461538461538456,0.06823076923076923,0.8703076923076923,0.021223076923076935
0.213,0.033,0.755,0.99,0.1291764705882353,0.029058823529411765,0.841764705882353,0.16399411764705882
0.294,0.0,0.706,0.91,0.30400000000000005,0.0,0.696,0.40822499999999995
0.055,0.064,0.881,0.0149,0.055833333333333325,0.04533333333333334,0.8989999999999999,-0.0034499999999999947
0.209,0.075,0.716,0.9423,0.203375,0.057499999999999996,0.7391249999999999,0.261825
0.204,0.0,0.796,0.9468,0.18925,0.0,0.81075,0.3457
0.208,0.0,0.792,0.9215,0.18600000000000003,0.0,0.8140000000000001,0.2922833333333333
0.044,0.0,0.956,0.6124,0.08333333333333333,0.0,0.9166666666666666,0.050977777777777775
0.371,0.0,0.629,0.9493,0.2495,0.0,0.7505000000000001,0.3643
0.14,0.042,0.819,0.8074,0.12716666666666668,0.029833333333333333,0.843,0.1459
